Feature Order,NSX Feature Name,Edition,Edition Short,NSXFINT,Binary,Binary Position,Find Position
0,Distributed Switching & Routing,Base,B,1,000000000000000000000000000000001,1,33
1,Edge Load Balancing,Base,B,2,000000000000000000000000000000010,2,32
2,Dynamic Routing with ECMP,Base,B,4,000000000000000000000000000000100,3,31
3,,,,8,000000000000000000000000000001000,4,30
4,SW L2 Bridging to Physical Environment,Base,B,16,000000000000000000000000000010000,5,29
5,Network Address Translation,Base,B,32,000000000000000000000000000100000,6,28
6,Distributed Firewall,Professional,P,64,000000000000000000000000001000000,7,27
7,"Layer 2 VPN (aka ""Remote Gateway"")",Professional,P,128,000000000000000000000000010000000,8,26
8,,,,256,000000000000000000000000100000000,9,25
9,,,,512,000000000000000000000001000000000,10,24
10,3rd Party Service Insertion,Advanced,A,1024,000000000000000000000010000000000,11,23
11,"Identity Firewall (aka ""Integration with Active Directory"")",Advanced,A,2048,000000000000000000000100000000000,12,22
12,Context-Aware Firewall with Layer 7,Advanced,A,4096,000000000000000000001000000000000,13,21
13,Virtual Private Network using IPSEC,Base,B,8192,000000000000000000010000000000000,14,20
14,Edge Firewall (aka Gateway firewall),Base,B,16384,000000000000000000100000000000000,15,19
15,IPv6 Layer 3 Forwarding,Base,B,32768,000000000000000001000000000000000,16,18
16,,,,65536,000000000000000010000000000000000,17,17
17,URL Filtering (as part of a Firewall),Advanced,A,131072,000000000000000100000000000000000,18,16
18,Container Networking,Advanced,A,262144,000000000000001000000000000000000,19,15
19,NSX Federation,Enterprise Plus,E+,524288,000000000000010000000000000000000,20,14
20,,,,1048576,000000000000100000000000000000000,21,13
21,Kubernetes VM in vSphere PKS Cluster,Advanced,A,2097152,000000000001000000000000000000000,22,12
22,Multi vCenter Network & Security,Advanced,A,4194304,000000000010000000000000000000000,23,11
23,IPv6 Layer 3 Forwarding and BGP Configured on Tier-0,Advanced,A,8388608,000000000100000000000000000000000,24,10
24,Tier-0 Router Configured as VRF,Professional,P,16777216,000000001000000000000000000000000,25,9
25,NSX Intelligence Appliance,Enterprise Plus,E+,33554432,000000010000000000000000000000000,26,8
26,Tier-0 Router Configured with EVPN,Enterprise Plus,E+,67108864,000000100000000000000000000000000,27,7
27,,,,134217728,000001000000000000000000000000000,28,6
28,,,,268435456,000010000000000000000000000000000,29,5
29,,,,536870912,000100000000000000000000000000000,30,4
30,,,,1073741824,001000000000000000000000000000000,31,3
31,NSX Distributed IDS,Advanced,A,2147483648,010000000000000000000000000000000,32,2
32,Integration Distributed Firewall,Advanced,A,4294967296,100000000000000000000000000000000,33,1
